id,source,language,task1,task2,clean_text
1662,twitter,en,1,ideological-inequality,seen as woman every day lots of people assume dont have the right to see me as womanhow can have the right to compete in female sports without taking away the right of females to female sports soon as compete they become mixed sex
1663,twitter,en,0,non-sexist,sneezes on lol yeah cover me in sneeze slutbag
1664,twitter,en,0,non-sexist,true it seems like every immoral thing that becomes popular they are okay with it but cant say because we do have lot of black women with integrity too like you
1666,twitter,en,1,misogyny-non-sexual-violence,youre girl says this then tell her shes an unworthy yadda yadda yaddamate youre misogynistic piece of shit your opinion is very much unimportant lady wants to reschedule be goddamned man and agree little girl or boy grow up to date someone like this
1667,twitter,en,1,objectification,soji this may not be the right time to say this but you dont look like prostitute chapter
1668,twitter,en,1,ideological-inequality,woman empowerment is like foot maino needs to be empowered along with vadra rest of women need to be overpowered
1669,twitter,en,1,sexual-violence,period sex isnt for men lol its for women like are yall that self centered
1670,twitter,en,0,non-sexist,like crude like more than just mans body so dont keep flattering yourself or might just change mind sure plenty of women have been into you and wanted to screw you but think its just you holding back loss can do that understand but dont let
1671,twitter,en,0,non-sexist,we think of the idea of rights differently people say if you are feminism you are against womens rights we disagree many rights that women have nowadays we would agree with ie owning bank account very difficult for woman in todays society to live without one
1672,twitter,en,1,sexual-violence,she had any sense of humour at all shed have just ripped her knickers off
1673,twitter,en,1,misogyny-non-sexual-violence,dont mind me being here in this room full of preggo ladies
1674,twitter,en,0,non-sexist,so who runs the it diaperdon or moscowmitch cuz it looks like mitch is making lil donnie and you look like bitch right now you cant influence mitch what good are you to georgians
1675,twitter,en,1,misogyny-non-sexual-violence,the one where rich men get laid easily and short men are invisible yet women think they arent shallow prostitutes mgtow
1676,twitter,en,1,ideological-inequality,grab em the pussy is just locker room talk but woman dropping the fbomb makes you clutch your pearls you can get in the fucking sea
1677,twitter,en,0,non-sexist,lets ruin the girls life because of something she said when she was child isnt young enough lets go back to birth with everyone who applies for job college anything to see if theyve ever done or said anything they shouldnt have and lets ruin their lives yay
1678,twitter,en,1,sexual-violence,whats your biggest fantasy to be loved haha but um dunno ive always wanted to be roughly gangbanged it sounds like fun to me
1679,twitter,en,1,stereotyping-dominance,what triggered me was back then sister incharge of cleaning while im incharge of cooking and all older brother job was to hang the laundry which he may or may not finish the job and we the would be the one to be blame because
1680,twitter,en,0,non-sexist,abide the same high standards you expect of others gamergate
1681,twitter,en,1,ideological-inequality,nope when say feminism mean the extreme feminism that exists today which is based on lot of victimism that hates men that claims to seek equality when it actually puts man on pedestal below feminism that has no logic and that puts women against men etc
1682,twitter,en,0,non-sexist,hi dhar watched this video loved it just want to address one thing thought it was really funny how the woman used the ex boss own words against him however um feminism is not women over men suits and skirts are both competent
1683,twitter,en,0,non-sexist,and transwomen have hammered dead rats onto rape shelters
1684,twitter,en,0,non-sexist,these black and brown men deserve to make more than some slimey no good sentator
1685,twitter,en,0,non-sexist,mean either they are actually sexist and are beyond help so they dont deserve your attentiontime or they are just trying to get reactionpiss you off so giving them that will just give them exactly what they want can call me we the want from behind mute lol
1686,twitter,en,0,non-sexist,finally bitch ass niggas yall cant pull that down shit all the time
1687,twitter,en,0,non-sexist,introducing grave hand kobolds grave hand kobolds will be available in our thirdparty setting were creating for pathfinder the frigid northlands of naltulth are going to be heck of place to adventure in pathfinder pathfindere paizo naltulth
1688,twitter,en,0,non-sexist,hyper woman seems like crucial role
1689,twitter,en,1,stereotyping-dominance,also theres no insurance from sex work youre always stigmatized for the act and the stigma passes onto your family members as wellthe disadvantages outweigh the benefitsyou might as well become trophy wife to some rich old man its still better if youre lazy
1690,twitter,en,0,non-sexist,they think so little of women in this country that they blame the backlash on strategists no assholes at we decided the column was hateful all on our own
1691,twitter,en,1,objectification,shes trophy wife but okay
1692,twitter,en,1,ideological-inequality,sounds familiarmentoo fakecases niruparoy toxicfeminism genderbiasedlaws womenempowerment legalterrorism legalextortion crimebywomen crimehasnogender dowrylawmisuse genderequality golddigger blackmail fraudwatch doublestandard
1693,twitter,en,1,stereotyping-dominance,yall still ignore women on here and its nasty sum of us not comfortable modeling men we should still get the same amount of attention as everyone else kpoprp
1694,twitter,en,1,misogyny-non-sexual-violence,ha that now takes the lead for the dumbest statement ive seen the day do civilized people say they are going to grab women the mean the idiocy of the right is amazing
1695,twitter,en,1,stereotyping-dominance,definition of dumb blonde
1696,twitter,en,1,ideological-inequality,since the point is important imma make its answer threadtop most important women in islam and the overall equal status of the woman in it and her rights came to find out that gender equality justice hence feminism is actually against women ironically
1697,twitter,en,1,misogyny-non-sexual-violence,woman sues her boyfriend for not proposing to her after eight years
1698,twitter,en,0,non-sexist,karen moans and rubs harder you know how to please woman she says as she turns hildas head towards her and kisses her passionately
1699,twitter,en,0,non-sexist,best wishes for speedy recovery she is strong woman
1700,twitter,en,0,non-sexist,ladies with that deep bow let us rejoice for the day when we can show off our lips again without masks someday while we deliver that biting commentary power fist looks better with glitter proud of badass comms women in the again
1701,twitter,en,0,non-sexist,next house fat yard and fire pit are necessities
1702,twitter,en,0,non-sexist,no man is good enough for me need king
1703,twitter,en,0,non-sexist,eeeeeeeeeee ah know its dangerous and wicked but edi had to run to the toilet she nearly wet herself jordan is shouting you are cunt stefan its not funny ah look like fucking panda its pulled eyebrows off ah look like nonce or summit as bad eeeeeee ah cant stop
1704,twitter,en,1,objectification,you look like whore
1705,twitter,en,1,misogyny-non-sexual-violence,this white whore was merging over straight line not checking her blind spot and almost hit the side of the car niece was on luckily that hoe got off the same exit as me and honked at every light punching fist she kept so much distance scary ass hoe
1706,twitter,en,0,non-sexist,ok this is like dumb story but feel like if met bakugou irl would do everything under the sun to annoy the fuck out of him had this rivalry going with guy with similar personality as him back in middle school and like we told everyone we hated each other but
1707,twitter,en,1,stereotyping-dominance,call me sexist or whatever but dont believe women should be playing mens college football startyourownleague myopiniontakeitorleaveit
1708,twitter,en,0,non-sexist,ya man trump is dangerous as lock his ass up
1709,twitter,en,0,non-sexist,vaccinations begin who will wont roll their sleeve what can be done to increase the numbers black women are leading the waytodays
1710,twitter,en,1,sexual-violence,remember when guys used to be disgusted when you said you ate ass same who dont know how to make women cum
1711,twitter,en,0,non-sexist,nothing like puritan catholics in the timeline
1712,twitter,en,0,non-sexist,talking of money first time in life ive been proper skint there this year due to that lockdown cunt amp thigh muscle was brutally knackered for about months on the up again now thank fuck being poor fucking sucks trust
1713,twitter,en,1,objectification,mums scathing observations on outfits this weekoh no you look like prostitute from the that top makes you look like jester and you look like one of those haunted dolls from horror film that is christmas outfits shes unnecessarily attacked now
1714,twitter,en,1,objectification,you look like prostitute whore nancy
1715,twitter,en,0,non-sexist,please take that from memory
1717,twitter,en,1,stereotyping-dominance,yeah but people have really inflicted lot of harm onto christelyn because they got upset at things that were saidi can understand shes being careful because angry black women can be
1718,twitter,en,1,misogyny-non-sexual-violence,fighting service women will not do sarah stern must spank their bare asses
1719,twitter,en,1,ideological-inequality,body language and the way one talks thats not every male had the same body language or speaks like every other man some are liked some people some arentso much on these threads re trans womensrights is just confirming over and over over again that ok
1720,twitter,en,1,stereotyping-dominance,molly since youre woman let me point you in the direction of the iron hoover and kitchen sink spoken like true trump supporter bet you love me mebbe if grab your pussy
1721,twitter,en,1,stereotyping-dominance,we shouldnt tell women what to do but fuck it still go ahead and tell her what to dona ment at this point
1722,twitter,en,0,non-sexist,ive repressed it for too long
1723,twitter,en,0,non-sexist,hes not her he is man neither woman nor lesbian dont be scared to admit it you know it to be true dont be intimidated the screaming cosplaying men know they hate women but dont embolden them
1724,twitter,en,1,misogyny-non-sexual-violence,admit that am may ask are you nakeddamien said while looking at the bent over woman he doesnt let the opportunity go to waste and gives her hard spank
1725,twitter,en,1,sexual-violence,discussion on dostoevsky bit of shoplifting at whole foods an afternoon of marx and mao and finish off the day with mocha at cosi and light sexual harassment the ballston metro takemeback
1726,twitter,en,0,non-sexist,you choose to be sexist and misogynistic and to not unlearn toxic masculinity for what coz you benefit from the patriarchy and you dont wanna call out your friends on their change coz it is uncomfortable for what miss me with that mindset stay away from me
1727,twitter,en,1,sexual-violence,bears sexual harassment
1728,twitter,en,0,non-sexist,see you but its low on list of attractive things
1729,twitter,en,0,non-sexist,very much agree with the attractive and cute part especially the cute partnice start eh letania what do we call you
1730,twitter,en,1,sexual-violence,spank me love dating contact me at profile link vancouver amateur mature love women horny glasgow encounters sexdating adult hot casual escorts girls sex brisbane reykjavk sexchat boobs wien uksex san jose sexting girl
1731,twitter,en,0,non-sexist,just in head it seems heavy lift for trump to get re elected but hope he does worry about what happens if this fraud is allowed will get ugly surmise if biden goes in
1732,twitter,en,1,stereotyping-dominance,growing up in religious town hear things such as but god made them for us to eatbut what will you cook for your husband when you get married love hearing those
1733,twitter,en,0,non-sexist,yall like to act like you dont know king used to love him some white women
1734,twitter,en,1,misogyny-non-sexual-violence,that cunt that absolute cunt daring to invoke fuck
1735,twitter,en,1,stereotyping-dominance,would be nice to see you wrestle against strong woman she will spank your ass when she will scissor you between her strong leg nice to hear you saying submit yes no
1736,twitter,en,0,non-sexist,yes im sure you tweeting about how much you hate trans people on twitter is materially helping women
1737,twitter,en,1,stereotyping-dominance,the only reason men are in charge relatively new social norms are they figured out our children are our weakness well girls if we dont get tough fast theyll slither back inwomen know how to multitask care love amp spank all at the same timekids matter
1738,twitter,en,0,non-sexist,like who the fuck are they and should give them any more political credibility more than would some rando in feed theyre not the first people to have class reductionist interpretation of american politics and its not any less obnoxious years later
1739,twitter,en,1,sexual-violence,sorry he doesnt have fat fucking tits he cut them off when he was
1740,twitter,en,1,ideological-inequality,dont be feminazi amp conform people according to your will respect people choice lady
1741,twitter,en,0,non-sexist,of this nonsense started with mass virtueyou need to do this for me they crymore people need to say fuck off you selfish cunt and stay insidemake no mistake those advocating that you must do as they say for their health are fascists
1742,twitter,en,1,objectification,man beautiful women with kind personalities blow mind if was woman and looked good like undeniably good like drop dead gorgeous people stare wherever go good feel like be so damn conceited and self absorbed
1743,twitter,en,0,non-sexist,homer is driving drunk and has collided with woman mechanic
1744,twitter,en,1,stereotyping-dominance,niggas in the aint got no respect for women as always women can be gamers too and whoop ya ass ive experienced it from many good female players
1745,twitter,en,0,non-sexist,anthem for the nationthe american kongresssurvivor of mort downey showsseeds were sownkollagescopic videopick
1746,twitter,en,0,non-sexist,birthday cake is one of the best songs of the tho eternal slapper
1747,twitter,en,1,stereotyping-dominance,know be given off dumb blonde energy with dash of depression sprinkled on top
1748,twitter,en,1,stereotyping-dominance,like to make some points on this women or anyone who identifies as woman are allowed to like and enjoy and talk about football just as much as men doesnt mean we all have to agree or have contest of who knows more or highlight the fact that we have boobs
1749,twitter,en,0,non-sexist,womensfashion womenswear womenstyle womens womenshealth womensupportingwomen womensfitness womensbest womensstyle womensclothing womensrights womensday womensrunningcommunity womensphysique in kit womens shoes
1750,twitter,en,0,non-sexist,hah same theres like three whole podcast episodes where pick it apart mad big wonder woman fan
1751,twitter,en,0,non-sexist,free woman bond woman
1752,twitter,en,1,stereotyping-dominance,cant let lady out hustle or work me that shit just make me feel like less of dike
1753,twitter,en,0,non-sexist,weigh the consequences of publishing or broadcasting personal information gamergate
1754,twitter,en,1,stereotyping-dominance,chatting to women in your there either crazy got kids with baby daddys theyre already taken and your the side bit or then theres the one who you think has it all and seems perfect then you find out she only talking to you so you subscribe to her only fans done
1755,twitter,en,1,misogyny-non-sexual-violence,then he shouldnt be threatening women in twitter
1756,twitter,en,0,non-sexist,well indeed someone somewhere might be having some fun how someone can be puritan libertarian is beyond me he has to be taking the piss because the one good thing about libertarians is that they are fun and he even finds way to ruin that peterhitchens
1757,twitter,en,0,non-sexist,car ends up in comox ditch woman claims dog was driving
1758,twitter,en,0,non-sexist,just letting you all know am taking break because not in good state of mind and its all on me no one to blame but myself see you when see you
1759,twitter,en,1,stereotyping-dominance,the saddest thing about sundays are that churches are filled with simps and betas in search for the love of their life these ones are cock carousel vets on the prowl for providers freakin sad
1760,twitter,en,1,stereotyping-dominance,javad zarif is like prostitute every day you are next to someone today erdogan yesterday venezuelan mother if you are silent they do not say lali you should not be called trowelthey should tell you paper napkins when your last days are over look for the hole
1761,twitter,en,1,ideological-inequality,what victim card did play just because you mansplain it doesnt make you right
1762,twitter,en,0,non-sexist,musk ox like this one call the frozen arctic home having inhabited this rough terrain for thousands of years their bodies have adapted to the frigid climate with their long shaggy hair concealing shorter undercoat that provides additional insulation in winter
1763,twitter,en,1,ideological-inequality,equality between men and women is word made up feminism and what they fight for theres nothing about equality in gods word were all completely different and unique fighting to be equal only breeds discontentment and contention not of god
1764,twitter,en,0,non-sexist,really should start up sex course for men and the masc women knowledgeable in that subject in being intuitive sexually with your partner
1765,twitter,en,1,ideological-inequality,let me guess trump supporter and feminazi
1766,twitter,en,1,misogyny-non-sexual-violence,since records were kept over of all violent crime has been committed men women experience similar levels of stress and anger but account for less than of all violent crime convictionsno notallmen but way too many nashvillebomb rockfordshooting
1767,twitter,en,0,non-sexist,you really want those ugly armors running around in looks so out of place
1768,twitter,en,1,stereotyping-dominance,he went from one single mom to another success later in life doesnt automatically change your base wiring fame and wealth opened up who he had access to but doesnt change him like most women she will be as loyal as her options
1769,twitter,en,1,ideological-inequality,is major disappointment this powerful warrior pining for chris pine for years dont think so antithesis of what an empowered wonder woman should be about
1770,twitter,en,0,non-sexist,she gets on tits
1771,twitter,en,0,non-sexist,girl understand
1772,twitter,en,1,ideological-inequality,he said reverse psychology but make it feminism
1773,twitter,en,1,objectification,he made me look weak he made you look desirabledont get me startedthat monster made me look like prostitute you dont have to treat with respect
1774,twitter,en,0,non-sexist,stool organization frigid before what actually went wrong
1775,twitter,en,0,non-sexist,but some peeps genuinely dont want to be sodomized and some genuinely dont want to sodomize all good enjoy
1776,twitter,en,0,non-sexist,pop smoke big smokeclippin the stick stick in the coat boomand they got guns same size as kevin hartplease dont think its jokeback on tour with the gang and its sold outtwentytwo dates aint missin showgot the ladies hittin phone
1777,twitter,en,1,objectification,malik is dumb mother fucker he literally drops his young instagram model wife who he has child with for year old whore who is like door knob everybody gets turn
1778,twitter,en,1,sexual-violence,men of means dont want used up women whove been riding the cock carousel nobody wants to settle for sloppy seconds
1779,twitter,en,0,non-sexist,bitch imup
1780,twitter,en,0,non-sexist,brother is autistic and take care of him myself as physically disabled woman after losing our home this year when our father passed everyday has been tough been struggle could buy gift for brother at least that would make me so happy eoladavis
1781,twitter,en,0,non-sexist,you can call it misandry if you want but there is truth to it
1782,twitter,en,0,non-sexist,misandry isnt real but if we put our minds together it can be
1783,twitter,en,1,stereotyping-dominance,oh well gold digger is classic
1784,twitter,en,0,non-sexist,victim card
1785,twitter,en,0,non-sexist,nah your telling gerard wanted to be straight so bad that the first woman he saw who was known racist he married and even after shes been outed as bad person hes like yep hetero life wife mwah
1786,twitter,en,0,non-sexist,this catapulted me into field of memories thought successfully repressed
1787,twitter,en,0,non-sexist,is most important question that how many farmers took part in this agitation after reading and studying provisions of these laws inclusion of women and children shows attitude of emotional blackmailing
1788,twitter,en,1,ideological-inequality,sexism against men isnt as big of an issue as it as against women obviously however saying sexism is only ever against women is quite literally anti feminist in that its against the agenda of feminism
1789,twitter,en,0,non-sexist,the beat down ground and pound for seconds standup fight seconds jabs seconds uppercut seconds minute rest repeat amp end with minute of abs the beat down
1790,twitter,en,1,objectification,you look like prostitute whore nancy
1791,twitter,en,0,non-sexist,the girl smoked with for the first time in the east mall parking lot while jipping wants to order tray lol full circle baby
1792,twitter,en,0,non-sexist,dont take offense to things that dont apply to me even if they apply to part of demographic were you look little deeper into you use things like hateful feminist and whore to respond to women didnt go further than saying men
1793,twitter,en,1,misogyny-non-sexual-violence,so just another bloke speaking over women amp telling women how it should be have to say to him is get tae back in yer misogynistic lane dude women dont need to be stroking yer ego am so over these narcissistic men
1794,twitter,en,0,non-sexist,vileim flyin jump you can look but dont you hump whooim major roar swear not whorewe cheer and we lead we act like were on speeddont hate us cause were beautiful cause we dont like you eitherwere cheerleaders we are cheerleaders
1795,twitter,en,0,non-sexist,im zootedhigh while watching man and editing review need to nap
1796,twitter,en,0,non-sexist,re true crime stuff some of it is ok but thats mostly cos its kinda like social history the ripper about most notorious serial killer is interesting they have feminists on there putting it into context mean not into it but it helps me get through it
1797,twitter,en,0,non-sexist,yall have cock block energy
1798,twitter,en,0,non-sexist,am the one who know very well
1799,twitter,en,0,non-sexist,they follow him in his later writings and are willing to die to kill others for him you start to travel you will see recall here very much because was sickened in heart the night before you hit us am also always upset cannot see burqa women to speak to them
1800,twitter,en,0,non-sexist,reham please dont expect from paid troll who sold his soul for some money will care if you are womanthey skunks whose job his discharge foul language creat such foul environment that people loose focus on the message foul smells and language is gender free
1801,twitter,en,0,non-sexist,new season of letterkenny just came out currently binge watching bridgerton along with everyone else apparently just finished women kill on access which was very entertaining also watching schitts creek which is just awesome
1802,twitter,en,0,non-sexist,we as ladies always have to prove ourselves to our men folk at this stage in life dont feel the need to prove myself whatever lies in the dark yes lies in the dark will come to the light aint got to lie to kick it how lie to psychic medium small mindset
1803,twitter,en,1,stereotyping-dominance,awww look at her obsessed now go back to the kitchen cook for your manly husband and leave harry alone
1804,twitter,en,0,non-sexist,anyway the thing happened today we got in the office work in theres now
1805,twitter,en,1,misogyny-non-sexual-violence,you pick the worst bitches please relacks fruit basket
1806,twitter,en,1,stereotyping-dominance,sometimes feel like that lady from how met your mother who is only single for like hours at time but collects few that crush on her over time so when she is single theres always some waiting to date her anyway the character reeks of subtle misogyny but she is me
1807,twitter,en,1,misogyny-non-sexual-violence,though so many dudes who claim to be leftistsfeminists truly hate women and have done zero work on their internalised misogyny the only reason they arent openly misogynistic is cause they know it would lose them followers
1808,twitter,en,1,sexual-violence,thats called sexual harassment
1809,twitter,en,0,non-sexist,who do you think you are calling me slapper you end do one yeah prick
1810,twitter,en,0,non-sexist,honestly think gonzaga would beat as bad as the womens team beat wofford today
1811,twitter,en,1,stereotyping-dominance,you should learn how to cook for your future husband
1812,twitter,en,0,non-sexist,library girlmyloveydoveywifemybeautiful dulhanmyvalentinewriting tomy solely wifeyoua quality in equalitya pool between dark and lightan undiscovered of alphabetsaccept the reality of the biggest dream our togetherness that we had ever thought
1813,twitter,en,0,non-sexist,its literally impossible for me to not be slutbag online
1814,twitter,en,1,objectification,boo you whore
1815,twitter,en,0,non-sexist,live in arizona another snowbird hotspot and one year an old woman was driving the wrong way on the freeway and killed herself and high school principal
1816,twitter,en,1,sexual-violence,the cock tease that was jerza
1817,twitter,en,0,non-sexist,you dont see his agenda the government is corrupt with politicians who are elites he grab woman who skin is brown put blacks in his cabinet to deceive the blacks like he is for them hollywood does the same use black talent and if they dont do what they say then
1818,twitter,en,1,misogyny-non-sexual-violence,know her nan since that time when she used to spank isaac because he used to touch her to breastfeed himisaacs nan is hell of woman
1819,twitter,en,1,ideological-inequality,has an interesting page on the term fallen woman whilst reasonable well explained it then headlines fallen women in art thus inadvertently validating the use of the term were there ever fallen men everydaysexism history
1820,twitter,en,1,misogyny-non-sexual-violence,go run your mouth about me little girl go tell your parents you werent stalking and that were friends friend said should say that okay last tweet shame on me for texting at name to begin with have laugh all jokes aside howdy
1821,twitter,en,0,non-sexist,women cant have female only shelters cause tras attack them irish women are fighting for sex to stay recognized legally women cant raise funds cause the org is separatist tras want to boycott protection for children not to do irreversible harm to their bodies yeah nice tho
1822,twitter,en,0,non-sexist,dont send nudes to your boyfriend or husband diane warnsladies
1823,twitter,en,1,sexual-violence,that is so far from true you may think this because women just havent opened up to you about their experiences rape forced sex is way too common for comfort
1824,twitter,en,1,sexual-violence,dontseeing some teenager high off her ass getting gangbanged and humiliated while she pretends to like it doesnt do it for meespecially considering have live in fiance amp have actual sex with real non virtual non prostitute woman
1825,twitter,en,0,non-sexist,birds was slapper
1826,twitter,en,1,objectification,may please ask are you equating legal with moralshould we not to do better do you understand women are fed up with forever being depicted in such sexually exaggerated way womenandgirls are more than just their breasts agreed
1827,twitter,en,1,ideological-inequality,who the hell is talking about century feminism fuck itthat rainbow feminism is not in dictionarywe talking about the original post industrial era feminism that was the legitimate outrage of women against church now can be an outrage against religious extremism
1828,twitter,en,0,non-sexist,are they going to hold jimmy accountable for the sexual abuse and harassment of young men that happened on his watch at ohio state
1829,twitter,en,0,non-sexist,youre woman in the menopause transition hot flashes and night sweats arent the only things that should grab your attention turns out that the stage of fluctuating hormones leading to your final period is risky time for your heart health
1830,twitter,en,0,non-sexist,japan gives xbox series the microsoft goes puritan
1831,twitter,en,1,stereotyping-dominance,potatoe soup with venison sausage leeks onion carrots and cabbage wife is amazing shes the typical house wife except she doesnt wanna be barefoot and pregnant
1832,twitter,en,1,sexual-violence,let daddy tease your pussy with his big cock scme snapchat horny tradenudes sex fuck porn naked message hornydm nudes snapme thickcock bigcock cum findsome pussy dmme freaksonly hardcock hornyaf cumtribute cumslut hornyteen nsfwtwitter
1833,twitter,en,1,sexual-violence,you would look like proper piss soaked whore
1834,twitter,en,0,non-sexist,hate nonchalant ass nigga excuse me do look like pick me ass bitch to you
1835,twitter,en,0,non-sexist,waiting to hear someone anyone on mainstream kids media mention it incarcerated men and women in the conversation about vaccines and covid they cant social distancethey are at the mercy of staff that come in and out of the facility they are forgotten population
1836,twitter,en,1,ideological-inequality,buzzfeed cyberpunks lets you have big penis feminists demand the option of deep vagina
1837,twitter,en,1,objectification,currently relieved with the knowledge that in less than month no one in the united states except for the president will have any idea what the lady looks like naked still cant believe this has to be stated bidencalm
1838,twitter,en,1,ideological-inequality,dont all women accuse their ex of being abusive thats like common practice and way for woman to get attention usually when woman tells me her ex abused her just say ok and change the subject
1839,twitter,en,1,misogyny-non-sexual-violence,president elect biden has already been in the whitehouse slutbag will again on jan there will be joyous singing in the streets next the dems will crush zimbabwe you little facist
1840,twitter,en,0,non-sexist,fat ass came from pizza and booze
1841,twitter,en,0,non-sexist,did suck so much ass
1842,twitter,en,1,sexual-violence,yes fuckin please let me pound that pussy and sow seed deep inside you
1843,twitter,en,0,non-sexist,those poor babes having to see and hear all that commotion the strength youve shown to get your family out of that situation is amazing fingers crossed the near future brings amazing things for you guys
1844,twitter,en,1,sexual-violence,she might be able to heal some of the damage done to her pairbonding ability but shell always be an alpha widow even if she marries at has kids goes to church every sunday and is mom shell still have some small pining for the four guys who gangbanged her at
1845,twitter,en,0,non-sexist,god forbid anyone to go to school for something they love and shit doesnt work out of them so they do what they have to do to make ends meet pretty sad you blame the person and not the system your says it all hope you grow heart one day
1846,twitter,en,0,non-sexist,traditionally friday is womensday all day at the porchester grade turkishbaths has been this way since theyear byker bykerbathhouse newcastle sirkkaliisakonttinen workingclassnorthernlife communityspirit
1847,twitter,en,0,non-sexist,todays featured winter course is feminist community organizing theories and practices from explore organizing efforts and techniques community issues and strategies that women have developedsee all courses on aurora umanitoba startatarts
1848,twitter,en,1,sexual-violence,hotwifechallenge wear very short denim skirtwithout panties think about every guy you see while out and to image if you are getting them hardhotwife sexy wife arkansas razorbacks wife heels erotic tease flirt panties thighhighs cuckold
1849,twitter,en,1,stereotyping-dominance,the story of an immigrant woman academic katalin karik treated appallingly and now they claim credit for her dogged pursuit of technology against all oddstypical everydaysexism
1850,twitter,en,1,objectification,cant all women be like this
1851,twitter,en,1,objectification,seems like there are now lot of angry insecure threatened misogynistic male children who are mad over america going from having paidfor pornographic trophy wife for to highly intelligent educated lady so sad
1852,twitter,en,0,non-sexist,mean lets just get to the basis of this most people would rather bitch and complain about presidency than protect americans and america thats where the majority has it messed up
1853,twitter,en,1,sexual-violence,fuck yes been waiting for group scenes still hoping for you to get reverse gangbanged just line them up and fuck every one of them
1854,twitter,en,1,misogyny-non-sexual-violence,dude you literally look like ya mom fucked troll or was your cunt mom the troll didnt come at you about anything said how about leading example helping people if you think you can do better you talked shit on boogaloo so responded in kind
1855,twitter,en,1,ideological-inequality,what these people dont realise is that making misogyny hate crime with these tactics would also make misandry hate crime too and god knows thats the last thing they would want
1856,twitter,en,1,objectification,yep got real prize there lolskank nounderogatoryinformala sleazy or unpleasant person
1857,twitter,en,1,misogyny-non-sexual-violence,the hell would they cast such beautiful woman to play tante heleen now im gonna look like an asshole when say want to bash her face in
1858,twitter,en,0,non-sexist,theres also shambhavi anand knowingly broke abortion lawwks amp criminal offense aborted alive girl child then fled be future business leader
1859,twitter,en,0,non-sexist,companies tell us we should straighten curl wave colour perm our hair the businesses just make trillions from women they keep ruining our confidence dont care about harmful chemicals amp treatments we have to endure because the money keeps on flowing prosecute them
1860,twitter,en,0,non-sexist,you stand with guy whos going to cock block you in for the nomination if hes not in prison he just cant help himselfwhat happened to you pence you stand with want to be dictator we dont do dictators in this country abbott
1861,twitter,en,1,misogyny-non-sexual-violence,the return to nature is an important way to rescue our true mission as males to sodomize
1862,twitter,en,1,stereotyping-dominance,some battles are fought in home standing with you on your struggle against paternal abuse amp domestic violence youre already winner in eyes you challenged patriarchy of your father stay strong the journey is not over yet
1863,twitter,en,0,non-sexist,bitch gotta be overall all the badges
1864,twitter,en,1,stereotyping-dominance,you have done it again dont look like that old ladies have naughty thoughts come back soon before brain explodes boom
1865,twitter,en,1,ideological-inequality,woman can have sex with different man every day for year and still only have one unwanted pregnancymen can have sex with different woman every day and cause unwanted pregnanciesmen cant preach to women about sexual responsibility without living it themselves
1866,twitter,en,0,non-sexist,love your account jennie biased blink but cant tell if youre an akgae or not haha just saying but not an akgae love all the girls just mostly ros focused account thats bitch
1867,twitter,en,0,non-sexist,never understand it likeeeee all these fine women in the world
1868,twitter,en,1,stereotyping-dominance,running like girl everydaysexism
1869,twitter,en,0,non-sexist,askbruce hi bruce does dominick mysterio still call you the sweaty fat guy
1870,twitter,en,0,non-sexist,air at least joe is good man despite all little too old probably but more keen on europe than donald so guess shouldnt complain you ask me though from some of those people can see them as cheaters wouldnt surprise me one bit but donald should give up at some
1871,twitter,en,0,non-sexist,juice the chain girl crush
1872,twitter,en,1,stereotyping-dominance,gawd ive just watched and its excruciating walters may keep reminding us that shes very different from hillbilly dolly but know which one comes across as the intellectual powerhouse that dumb blonde aint nobodys fool
1873,twitter,en,1,stereotyping-dominance,how the fuck do so many year old women have brain damage
1874,twitter,en,0,non-sexist,we are here to serve women and women only
1875,twitter,en,1,sexual-violence,if your drunk and having intercourse its rape you cant consent
1876,twitter,en,0,non-sexist,this is choose misandry and low carbon footprint as personal lifestyle
1877,twitter,en,0,non-sexist,theres this thing women do just to make their men feel in charge they give the man the money to take care of the bill madam dont do that to me take charge its your money it doesnt change anything will still enjoy the food or whatever with full chest
1878,twitter,en,1,ideological-inequality,go ahead tell me feminist and activists arent crazy diversity in space men guys boys mensrights mensrightsmovement mensrightsactivist mensrightsmatter
1879,twitter,en,1,stereotyping-dominance,kodwa dont think yall will ever know the damage yall do to woman when yall cheat you can love her till the falls but cheating does so much damage hence we have women called evil bitter witches today
1880,twitter,en,1,ideological-inequality,those people who compare and drag women in the music industry all day but say fuck men few times before they go to bed and think they are the peak of feminism
1881,twitter,en,1,misogyny-non-sexual-violence,the next person to assume fucking child or incompetent biting your bitch ass and absolutely going
1882,twitter,en,1,sexual-violence,you should have to be asked question to talk about sexual harassment and dude if you dont care then leave
1883,twitter,en,0,non-sexist,no wouldnt send him down the road for box of matches hed probably come back drunk towing along some bird with very short skirt and backcombed hair
1884,twitter,en,0,non-sexist,you put hit out on cat and now to steal the new breed wanted to get whats new its cool switch it up aint nobody wanna be woman who slanders other innocent women
1885,twitter,en,0,non-sexist,am an absolute slut for good sandwich
1886,twitter,en,0,non-sexist,does anyone else remember skungies those things were literally just plain underwear that were socially acceptable see if your skirt flew up playing sports very skirts too short on the way to the swimming carnival vibes
1887,twitter,en,1,sexual-violence,an american and particularly as woman watching closely as your win will be vindication for many women that have been abused then humiliated justice time for accountability on so many levels can you imagine if grab em the pussy applied to ivanka
